No.,Company Name,Stock Price,Market Cap,Symbol,Industry
99,Eaton Corporation plc,357.36,138.62B,ETN,Specialty Industrial Machinery
100,Welltower Inc.,195.77,136.60B,WELL,REIT - Healthcare Facilities
101,Anheuser-Busch InBev SA/NV,67.57,136.44B,BUD,Beverages - Brewers
102,QUALCOMM Incorporated,127.11,135.63B,QCOM,Semiconductors
103,British American Tobacco p.l.c.,57.80,133.50B,BTI,Tobacco
104,Southern Copper Corporation,162.07,132.75B,SCCO,Copper
105,Unilever PLC,59.37,129.72B,UL,Household & Personal Products
106,"Lowe's Companies, Inc.",230.31,128.99B,LOW,Home Improvement Retail
107,Booking Holdings Inc.,"4,062.14",128.66B,BKNG,Travel Services
108,AppLovin Corporation,381.20,128.57B,APP,Advertising Agencies
109,Danaher Corporation,181.52,128.36B,DHR,Diagnostics & Research
110,PetrÃ³leo Brasileiro S.A. - Petrobras,18.80,125.69B,PBR.A,Oil & Gas Integrated
111,Stryker Corporation,327.44,125.31B,SYK,Medical Devices
112,HDFC Bank Limited,24.35,124.70B,HDB,Banks - Regional
113,Chubb Limited,319.09,124.50B,CB,Insurance - Property & Casualty
114,BP p.l.c.,46.68,122.15B,BP,Oil & Gas Integrated
115,"Sumitomo Mitsui Financial Group, Inc.",19.05,121.56B,SMFG,Banks - Diversified
116,S&P Global Inc.,406.24,121.38B,SPGI,Financial Data & Stock Exchanges
117,"Palo Alto Networks, Inc.",147.02,119.97B,PANW,Software - Infrastructure
118,"Prologis, Inc.",128.90,119.82B,PLD,REIT - Industrial
119,Enbridge Inc.,54.58,119.29B,ENB,Oil & Gas Midstream
120,Bristol-Myers Squibb Company,58.54,119.22B,BMY,Drug Manufacturers - General
121,Sony Group Corporation,19.91,118.45B,SONY,Consumer Electronics
122,Accenture plc,192.60,118.24B,ACN,Information Technology Services
123,Corning Incorporated,136.81,117.38B,GLW,Electronic Components
124,"Banco Bilbao Vizcaya Argentaria, S.A.",20.42,116.58B,BBVA,Banks - Diversified
125,The Progressive Corporation,198.84,116.50B,PGR,Insurance - Property & Casualty
