No.,Company Name,Stock Price,Market Cap,Symbol,Industry
2563,Evotec SE,2.42,859.36M,EVO,Drug Manufacturers - Specialty & Generic
2564,"Amplitude, Inc.",6.41,856.93M,AMPL,Software - Application
2565,Criteo S.A.,17.18,856.58M,CRTO,Advertising Agencies
2566,Wallbox N.V.,2.51,854.40M,WBX,Electronic Components
2567,"Inhibrx Biosciences, Inc.",58.39,852.90M,INBX,Biotechnology
2568,Mercantile Bank Corporation,49.33,852.08M,MBWM,Banks - Regional
2569,D-Market Elektronik Hizmetler ve Ticaret A.S.,2.61,850.86M,HEPS,Internet Retail
2570,"Newegg Commerce, Inc.",40.58,850.82M,NEGG,Internet Retail
2571,"Clover Health Investments, Corp.",1.75,849.85M,CLOV,Healthcare Plans
2572,"Empire State Realty Trust, Inc.",4.96,849.35M,ESRT,REIT - Diversified
2573,InMode Ltd.,13.4,849.01M,INMD,Medical Devices
2574,Satellogic Inc.,5.93,848.34M,SATL,Aerospace & Defense
2575,Fortrea Holdings Inc.,9.07,848.05M,FTRE,Biotechnology
2576,"Eve Holding, Inc.",2.43,846.38M,EVEX,Aerospace & Defense
2577,"Cresud Sociedad AnÃ³nima, Comercial, Inmobiliaria, Financiera y Agropecuaria",12.09,846.06M,CRESY,Conglomerates
2578,Gentherm Incorporated,27.67,844.67M,THRM,Auto Parts
2579,CNB Financial Corporation,28.37,840.75M,CCNE,Banks - Regional
2580,Scholastic Corporation,38.74,840.66M,SCHL,Publishing
2581,ARKO Petroleum Corp.,17.64,839.14M,APC,Oil & Gas Refining & Marketing
2582,Arbutus Biopharma Corporation,4.29,838.60M,ABUS,Biotechnology
2583,Standard Lithium Ltd.,3.52,838.21M,SLI,Other Industrial Metals & Mining
2584,"Xencor, Inc.",11.42,837.53M,XNCR,Biotechnology
2585,"Barings BDC, Inc.",7.99,836.61M,BBDC,Asset Management
2586,"Porch Group, Inc.",6.76,836.10M,PRCH,Insurance - Property & Casualty
2587,UroGen Pharma Ltd.,17.17,835.87M,URGN,Biotechnology
2588,"Phathom Pharmaceuticals, Inc.",10.58,833.69M,PHAT,Biotechnology
2589,"HBT Financial, Inc.",26.52,833.57M,HBT,Banks - Regional
2590,Taboola.com Ltd.,3.0,832.80M,TBLA,Internet Content & Information
2591,"Horizon Bancorp, Inc.",16.21,830.37M,HBNC,Banks - Regional
2592,Central Pacific Financial Corp.,31.54,829.19M,CPF,Banks - Regional
2593,Hallador Energy Company,17.57,826.20M,HNRG,Thermal Coal
2594,Jumia Technologies AG,6.67,826.10M,JMIA,Internet Retail
2595,Huntington Bancshares Incorporated,15.08,825.56M,HBAN,Banks - Regional
2596,Greenfire Resources Ltd.,6.58,825.31M,GFR,Oil & Gas Exploration & Production
2597,Whitestone REIT,15.99,821.75M,WSR,REIT - Retail
2598,CrossAmerica Partners LP,21.54,821.43M,CAPL,Oil & Gas Refining & Marketing
2599,"MapLight Therapeutics, Inc.",18.64,820.61M,MPLT,Biotechnology
2600,"SchrÃ¶dinger, Inc.",11.08,817.98M,SDGR,Health Information Services
2601,Metropolitan Bank Holding Corp.,80.65,815.86M,MCB,Banks - Regional
2602,GH Research PLC,13.15,815.69M,GHRS,Biotechnology
2603,Shenandoah Telecommunications Company,14.69,812.38M,SHEN,Telecom Services
2604,"MetroCity Bankshares, Inc.",28.21,811.18M,MCBS,Banks - Regional
2605,Core Laboratories Inc.,17.61,810.95M,CLB,Oil & Gas Equipment & Services
2606,"Frontier Group Holdings, Inc.",3.53,810.52M,ULCC,Airlines
2607,American Bitcoin Corp.,0.869,806.09M,ABTC,Capital Markets
2608,"Abacus Global Management, Inc.",8.34,805.16M,ABX,Insurance - Life
2609,"Aeva Technologies, Inc.",12.77,803.53M,AEVA,Software - Infrastructure
2610,Ferroglobe PLC,4.3,803.50M,GSM,Other Industrial Metals & Mining
2611,"Cricut, Inc.",3.79,802.65M,CRCT,Computer Hardware
2612,"Janux Therapeutics, Inc.",13.18,801.76M,JANX,Biotechnology
2613,"Riley Exploration Permian, Inc.",37.17,801.66M,REPX,Oil & Gas Exploration & Production
2614,"ARS Pharmaceuticals, Inc.",8.07,801.33M,SPRY,Biotechnology
2615,Quanex Building Products Corporation,17.43,800.63M,NX,Building Products & Equipment
2616,Inventiva S.A.,5.75,800.12M,IVA,Biotechnology
2617,"Kura Sushi USA, Inc.",66.06,800.08M,KRUS,Restaurants
2618,"Evommune, Inc.",22.18,798.89M,EVMN,Biotechnology
2619,"Controladora Vuela CompaÃ±Ã­a de AviaciÃ³n, S.A.B. de C.V.",6.95,798.24M,VLRS,Airlines
2620,"Aktis Oncology, Inc.",15.19,797.81M,AKTS,Biotechnology
2621,"Piedmont Realty Trust, Inc.",6.39,797.79M,PDM,REIT - Office
2622,Five Star Bancorp,37.11,793.27M,FSBC,Banks - Regional
2623,"Standard Motor Products, Inc.",35.81,793.05M,SMP,Auto Parts
2624,"Heritage Insurance Holdings, Inc.",25.81,792.91M,HRTG,Insurance - Property & Casualty
2625,POET Technologies Inc.,5.19,792.57M,POET,Semiconductors
2626,"Saul Centers, Inc.",32.34,792.19M,BFS,REIT - Retail
2627,"Heartland Express, Inc.",10.22,791.59M,HTLD,Trucking
2628,"Employers Holdings, Inc.",40.36,786.29M,EIG,Insurance - Specialty
2629,Atlanticus Holdings Corporation,52.7,786.25M,ATLC,Credit Services
2630,"First Community Bankshares, Inc.",41.19,785.70M,FCBC,Banks - Regional
2631,Matthews International Corporation,25.2,784.38M,MATW,Conglomerates
2632,"SELLAS Life Sciences Group, Inc.",4.365,783.88M,SLS,Biotechnology
2633,Republic Airways Holdings Inc.,16.71,782.52M,RJET,Airlines
2634,Camden National Corporation,46.2,781.95M,CAC,Banks - Regional
2635,"Cantaloupe, Inc.",10.6,781.43M,CTLP,Software - Infrastructure
2636,"Bain Capital Specialty Finance, Inc.",12.04,781.02M,BCSF,Asset Management
2637,IperionX Limited,23.15,778.59M,IPX,Other Industrial Metals & Mining
2638,"Cullinan Therapeutics, Inc.",12.85,777.76M,CGEM,Biotechnology
2639,"Theravance Biopharma, Inc.",15.08,776.51M,TBPH,Biotechnology
2640,Peakstone Realty Trust,20.86,775.58M,PKST,REIT - Office
2641,"Carlyle Secured Lending, Inc.",10.97,775.33M,CGBD,Asset Management
2642,"Myers Industries, Inc.",20.71,774.62M,MYE,Packaging & Containers
2643,Hanmi Financial Corporation,25.91,774.52M,HAFC,Banks - Regional
2644,"ScanSource, Inc.",36.05,774.37M,SCSC,Electronics & Computer Distribution
2645,Seneca Foods Corporation,150.12,773.42M,SENEB,Packaged Foods
2646,Vipshop Holdings Limited,16.11,771.67M,VIPS,Internet Retail
2647,"CytomX Therapeutics, Inc.",4.52,769.24M,CTMX,Biotechnology
2648,"Petco Health and Wellness Company, Inc.",2.7,767.76M,WOOF,Specialty Retail
2649,"Granite Ridge Resources, Inc.",5.84,767.76M,GRNT,Oil & Gas Exploration & Production
2650,PennantPark Floating Rate Capital Ltd.,7.73,766.95M,PFLT,Asset Management
2651,SunOpta Inc.,6.47,765.28M,STKL,Beverages - Non-Alcoholic
2652,Westlake Chemical Partners LP,21.71,765.19M,WLKP,Chemicals
2653,Oddity Tech Ltd.,13.22,761.14M,ODD,Household & Personal Products
2654,"Montrose Environmental Group, Inc.",21.12,759.91M,MEG,Waste Management
2655,Newsmax Inc.,5.88,759.33M,NMAX,Broadcasting
2656,SLR Investment Corp.,13.91,758.85M,SLRC,Asset Management
2657,TrustCo Bank Corp NY,42.75,757.12M,TRST,Banks - Regional
2658,"Ridgepost Capital, Inc",6.91,756.68M,RPC,Asset Management
2659,New Mountain Finance Corporation,7.5,756.05M,NMFC,Asset Management
2660,"SpyGlass Pharma, Inc.",22.61,753.31M,SGP,Biotechnology
2661,"Arteris, Inc.",16.51,750.66M,AIP,Semiconductors
2662,Heritage Commerce Corp,12.17,749.59M,HTBK,Banks - Regional
2663,"Lumexa Imaging Holdings, Inc.",7.79,748.70M,LMRI,Medical Devices
2664,Gold Royalty Corp.,3.32,745.44M,GROY,Gold
2665,Koppers Holdings Inc.,37.92,744.72M,KOP,Specialty Chemicals
2666,Lotus Technology Inc.,1.1,744.57M,LOT,Auto Manufacturers
2667,"Eagle Bancorp, Inc.",24.51,744.21M,EGBN,Banks - Regional
2668,"Barrett Business Services, Inc.",29.36,739.96M,BBSI,Staffing & Employment Services
2669,"Kronos Worldwide, Inc.",6.43,739.79M,KRO,Specialty Chemicals
2670,"Sana Biotechnology, Inc.",2.77,739.22M,SANA,Biotechnology
2671,"Capital City Bank Group, Inc.",43.02,737.89M,CCBG,Banks - Regional
2672,First Financial Corporation,61.93,736.47M,THFF,Banks - Regional
2673,"BJ's Restaurants, Inc.",34.74,736.39M,BJRI,Restaurants
2674,"Tilray Brands, Inc.",6.32,736.32M,TLRY,Drug Manufacturers - Specialty & Generic
2675,"Vitesse Energy, Inc.",18.51,736.27M,VTS,Oil & Gas Exploration & Production
2676,"Oil States International, Inc.",12.2,734.52M,OIS,Oil & Gas Equipment & Services
2677,Ballard Power Systems Inc.,2.385,734.50M,BLDP,Electrical Equipment & Parts
2678,"NWPX Infrastructure, Inc.",76.35,730.99M,NWPX,Steel
2679,Aebi Schmidt Holding AG,9.41,728.66M,AEBI,Farm & Heavy Construction Machinery
2680,BRBI BR Partners S.A.,14.53,728.48M,BRBI,Capital Markets
2681,"Mid Penn Bancorp, Inc.",31.35,726.57M,MPB,Banks - Regional
2682,"AMN Healthcare Services, Inc.",18.91,726.40M,AMN,Medical Care Facilities
2683,"TXO Partners, L.P.",13.14,725.89M,TXO,Oil & Gas Exploration & Production
2684,ACV Auctions Inc.,4.15,722.40M,ACVA,Auto & Truck Dealerships
2685,Rayonier Advanced Materials Inc.,10.74,719.64M,RYAM,Chemicals
2686,One and one Green Technologies. Inc,13.83,719.16M,YDDL,Waste Management
2687,Integra LifeSciences Holdings Corporation,9.2,717.02M,IART,Medical Devices
2688,Northern Dynasty Minerals Ltd.,1.28,716.94M,NAK,Other Industrial Metals & Mining
2689,"BioAge Labs, Inc.",16.15,716.73M,BIOA,Drug Manufacturers - Specialty & Generic
2690,Anterix Inc.,38.24,716.35M,ATEX,Telecom Services
2691,Bright Minds Biosciences Inc.,70.1,716.19M,DRUG,Biotechnology
2692,Adlai Nortye Ltd.,6.46,715.13M,ANL,Biotechnology
2693,"HomeTrust Bancshares, Inc.",42.05,711.84M,HTB,Banks - Regional
2694,"BridgeBio Oncology Therapeutics, Inc.",8.88,710.69M,BBOT,Biotechnology
2695,Bowhead Specialty Holdings Inc.,21.67,710.42M,BOW,Insurance - Property & Casualty
2696,"BrightSpire Capital, Inc.",5.51,708.74M,BRSP,REIT - Mortgage
2697,Santacruz Silver Mining Ltd.,7.73,707.33M,SCZM,Other Industrial Metals & Mining
2698,"Ibotta, Inc.",28.98,705.67M,IBTA,Software - Application
2699,"Esperion Therapeutics, Inc.",2.74,703.66M,ESPR,Drug Manufacturers - Specialty & Generic
2700,"Carriage Services, Inc.",44.62,702.82M,CSV,Personal Services
2701,MannKind Corporation,2.28,702.47M,MNKD,Biotechnology
2702,Biglari Holdings Inc.,305.79,701.58M,BH,Restaurants
2703,Omeros Corporation,9.88,700.50M,OMER,Biotechnology
2704,"Castle Biosciences, Inc.",23.53,699.58M,CSTL,Diagnostics & Research
2705,Solid Biosciences Inc.,7.11,699.56M,SLDB,Biotechnology
2706,"Lexicon Pharmaceuticals, Inc.",1.65,699.07M,LXRX,Biotechnology
2707,"Velocity Financial, Inc.",17.81,698.78M,VEL,Mortgage Finance
2708,"Omada Health, Inc.",11.86,698.56M,OMDA,Health Information Services
2709,"Apogee Enterprises, Inc.",32.46,698.22M,APOG,Building Products & Equipment
2710,"Forum Energy Technologies, Inc.",61.92,696.98M,FET,Oil & Gas Equipment & Services
2711,"Wolfspeed, Inc.",15.44,696.17M,WOLF,Semiconductors
2712,Donegal Group Inc.,16.56,694.39M,DGICB,Insurance - Property & Casualty
2713,Sound Group Inc.,16.69,694.30M,SOGP,Internet Content & Information
2714,"Janus International Group, Inc.",5.0,694.29M,JBI,Building Products & Equipment
2715,Grocery Outlet Holding Corp.,7.07,693.94M,GO,Grocery Stores
2716,"Southern Missouri Bancorp, Inc.",62.44,693.60M,SMBC,Banks - Regional
2717,"Enhabit, Inc.",13.66,692.88M,EHAB,Medical Care Facilities
2718,"Orrstown Financial Services, Inc.",34.98,686.30M,ORRF,Banks - Regional
2719,Solowin Holdings,3.66,685.14M,AXG,Capital Markets
2720,"Kura Oncology, Inc.",7.74,683.67M,KURA,Biotechnology
2721,ADS-TEC Energy PLC,11.37,683.59M,ADSE,Electrical Equipment & Parts
2722,New Pacific Metals Corp.,3.87,683.50M,NEWP,Silver
2723,"Root, Inc.",43.9,682.85M,ROOT,Insurance - Property & Casualty
2724,"Strive Asset Management, LLC",9.86,681.56M,ASST,Asset Management
2725,"Great Southern Bancorp, Inc.",62.1,680.81M,GSBC,Banks - Regional
2726,"Golden Entertainment, Inc.",25.91,678.82M,GDEN,Resorts & Casinos
2727,Daily Journal Corporation,491.76,677.51M,DJCO,Software - Application
2728,Noah Holdings Limited,10.1,677.22M,NOAH,Asset Management
2729,"Franklin BSP Realty Trust, Inc.",8.35,676.06M,FBRT,REIT - Mortgage
2730,EHang Holdings Limited,9.39,675.40M,EH,Aerospace & Defense
2731,"QuinStreet, Inc.",11.84,674.81M,QNST,Advertising Agencies
2732,"Relmada Therapeutics, Inc.",6.43,674.44M,RLMD,Biotechnology
2733,"South Plains Financial, Inc.",41.27,674.00M,SPFI,Banks - Regional
2734,"VAALCO Energy, Inc.",6.44,671.42M,EGY,Oil & Gas Exploration & Production
2735,"CeriBell, Inc.",17.79,669.64M,CBLL,Medical Devices
2736,HUYA Inc.,3.01,669.29M,HUYA,Entertainment
2737,Metallus Inc.,16.03,668.94M,MTUS,Steel
2738,"NerdWallet, Inc.",10.0,667.86M,NRDS,Internet Content & Information
2739,Thornburg Income Builder Opportunities Trust,20.81,667.46M,TBLD,Asset Management
2740,Independent Bank Corporation,32.41,667.27M,IBCP,Banks - Regional
2741,"Covenant Logistics Group, Inc.",26.58,666.71M,CVLG,Trucking
2742,"Transcat, Inc.",71.32,665.57M,TRNS,Specialty Business Services
2743,"GoodRx Holdings, Inc.",1.94,664.59M,GDRX,Health Information Services
2744,"Personalis, Inc.",6.34,663.37M,PSNL,Diagnostics & Research
2745,VTEX,3.83,662.57M,VTEX,Software - Application
2746,"Phreesia, Inc.",10.98,661.95M,PHR,Health Information Services
2747,"Redwood Trust, Inc.",5.29,661.19M,RWT,REIT - Mortgage
2748,"indie Semiconductor, Inc.",3.19,660.79M,INDI,Semiconductors
2749,"Jade Biosciences, Inc.",13.39,660.35M,JBIO,Biotechnology
2750,"Optimum Communications, Inc.",1.4,658.61M,OPTU,Telecom Services
2751,Vinci Compass Investments Ltd.,10.06,658.15M,VINP,Asset Management
2752,Stratasys Ltd.,7.64,657.88M,SSYS,Computer Hardware
2753,"Gyre Therapeutics, Inc.",6.78,657.41M,GYRE,Biotechnology
2754,Hippo Holdings Inc.,25.31,657.33M,HIPO,Insurance - Property & Casualty
2755,Alpha and Omega Semiconductor Limited,22.05,656.23M,AOSL,Semiconductors
2756,Kornit Digital Ltd.,14.56,655.90M,KRNT,Specialty Industrial Machinery
2757,"Utz Brands, Inc.",7.41,655.29M,UTZ,Packaged Foods
2758,"Adamas Trust, Inc.",7.24,655.03M,ADAM,REIT - Mortgage
2759,"Alto Neuroscience, Inc.",20.5,654.88M,ANRO,Biotechnology
2760,"SmartFinancial, Inc.",38.29,654.64M,SMBK,Banks - Regional
2761,Drugs Made In America Acquisition II Corp.,9.98,654.44M,DMII,Shell Companies
2762,Nutex Health Inc.,93.81,653.70M,NUTX,Medical Care Facilities
2763,Jiayin Group Inc.,4.86,653.04M,JFIN,Internet Content & Information
2764,"Smith & Wesson Brands, Inc.",14.66,652.28M,SWBI,Aerospace & Defense
2765,"Sturm, Ruger & Company, Inc.",40.83,651.01M,RGR,Aerospace & Defense
2766,"Design Therapeutics, Inc.",10.54,650.03M,DSGN,Biotechnology
2767,Uxin Limited,3.15,649.43M,UXIN,Auto & Truck Dealerships
2768,Studio City International Holdings Limited,3.37,649.02M,MSC,Resorts & Casinos
2769,"PRA Group, Inc.",16.85,647.94M,PRAA,Credit Services
2770,AdvanSix Inc.,24.06,646.56M,ASIX,Chemicals
2771,"Arvinas, Inc.",10.1,646.01M,ARVN,Biotechnology
2772,World Acceptance Corporation,130.5,644.26M,WRLD,Credit Services
2773,"Solid Power, Inc.",2.92,644.09M,SLDP,Auto Parts
2774,Fidus Investment Corporation,16.92,642.19M,FDUS,Asset Management
2775,Invesco Mortgage Capital Inc.,7.71,642.02M,IVR,REIT - Mortgage
2776,Insteel Industries Inc.,32.99,639.89M,IIIN,Metal Fabrication
2777,"Once Upon A Farm, PBC",15.26,639.39M,OFRM,Packaged Foods
2778,Ethos Technologies Inc.,10.13,636.87M,LIFE,Insurance - Life
2779,Terrestrial Energy Inc.,6.01,635.75M,IMSR,Utilities - Regulated Electric
2780,"Hovnanian Enterprises, Inc.",106.81,634.26M,HOV,Residential Construction
2781,Guardian Metal Resources PLC,17.25,634.26M,GMTL,Other Precious Metals & Mining
2782,"Eton Pharmaceuticals, Inc.",23.24,634.09M,ETON,Drug Manufacturers - Specialty & Generic
2783,"Udemy, Inc.",4.36,634.04M,UDMY,Education & Training Services
2784,Tiptree Inc.,16.67,631.41M,TIPT,Insurance - Specialty
2785,"SandRidge Energy, Inc.",17.14,631.18M,SD,Oil & Gas Exploration & Production
2786,"First Watch Restaurant Group, Inc.",10.31,630.33M,FWRG,Restaurants
2787,"Flotek Industries, Inc.",17.42,630.12M,FTK,Oil & Gas Equipment & Services
2788,Serve Robotics Inc.,8.32,629.74M,SERV,Specialty Industrial Machinery
2789,"Avanos Medical, Inc.",13.52,628.73M,AVNS,Medical Devices
2790,"Betterware de MÃ©xico, S.A.P.I. de C.V.",16.87,628.30M,BWMX,Specialty Retail
2791,Nuveen Churchill Direct Lending Corp.,12.72,628.20M,NCDL,Asset Management
2792,"MNTN, Inc.",8.49,627.18M,MNTN,Software - Application
2793,Tamboran Resources Corporation,43.4,626.80M,TBN,Oil & Gas Exploration & Production
2794,"HealthStream, Inc.",21.1,626.00M,HSTM,Health Information Services
2795,"NexPoint Residential Trust, Inc.",24.6,625.12M,NXRT,REIT - Residential
2796,"Intrepid Potash, Inc.",46.52,623.69M,IPI,Agricultural Inputs
2797,Flowco Holdings Inc.,21.0,622.59M,FLOC,Oil & Gas Equipment & Services
2798,Obsidian Energy Ltd.,9.24,622.01M,OBE,Oil & Gas Exploration & Production
2799,"Safe Bulkers, Inc.",6.08,621.65M,SB,Marine Shipping
2800,"Washington Trust Bancorp, Inc.",32.64,621.46M,WASH,Banks - Regional
2801,CI&T Inc.,4.82,621.10M,CINT,Software - Infrastructure
2802,Ardmore Shipping Corporation,15.18,618.30M,ASC,Marine Shipping
2803,"Latham Group, Inc.",5.29,617.70M,SWIM,Building Products & Equipment
2804,"Village Super Market, Inc.",41.81,616.78M,VLGEA,Grocery Stores
2805,Donegal Group Inc.,16.83,616.68M,DGICA,Insurance - Property & Casualty
2806,"AMERISAFE, Inc.",32.73,615.16M,AMSF,Insurance - Specialty
2807,"Mama's Creations, Inc.",15.13,615.08M,MAMA,Packaged Foods
2808,"Black Rock Coffee Bar, Inc.",12.27,614.18M,BRCB,Restaurants
2809,Hyperliquid Strategies Inc.,4.95,613.64M,PURR,Capital Markets
2810,MeiraGTx Holdings plc,7.62,613.34M,MGTX,Biotechnology
2811,Community West Bancshares,22.63,613.27M,CWBC,Banks - Regional
2812,"Ocugen, Inc.",1.87,613.17M,OCGN,Biotechnology
2813,"Third Coast Bancshares, Inc.",37.19,613.11M,TCBX,Banks - Regional
2814,"Gevo, Inc.",2.52,611.91M,GEVO,Specialty Chemicals
2815,"Prime Medicine, Inc.",3.38,610.27M,PRME,Biotechnology
2816,Peapack-Gladstone Financial Corporation,34.71,609.88M,PGC,Banks - Regional
2817,CCC Intelligent Solutions Holdings Inc.,5.81,609.34M,CCC,Software - Application
2818,"Energy Vault Holdings, Inc.",3.52,608.87M,NRGV,Utilities - Renewable
2819,Dakota Gold Corp.,4.56,608.84M,DC,Gold
2820,"Reservoir Media, Inc.",9.28,608.77M,RSVR,Entertainment
2821,"Financial Institutions, Inc.",30.89,606.50M,FISI,Banks - Regional
2822,"NETGEAR, Inc.",21.57,606.40M,NTGR,Communication Equipment
2823,IsoEnergy Ltd.,10.04,605.68M,ISOU,Uranium
2824,Arko Corp.,5.46,605.47M,ARKO,Specialty Retail
2825,New Found Gold Corp.,1.78,605.21M,NFGC,Gold
2826,"Shore Bancshares, Inc.",18.1,604.87M,SHBI,Banks - Regional
2827,Alpha Tau Medical Ltd.,6.86,603.75M,DRTS,Biotechnology
2828,LB Pharmaceuticals Inc,23.84,603.13M,LBRX,Biotechnology
2829,Bioventus Inc.,8.94,602.27M,BVS,Medical Devices
2830,Green Dot Corporation,10.83,601.80M,GDOT,Credit Services
2831,Sabre Corporation,1.52,600.65M,SABR,Software - Infrastructure
2832,Alerus Financial Corporation,23.57,598.71M,ALRS,Banks - Regional
2833,"Natural Grocers by Vitamin Cottage, Inc.",25.97,598.17M,NGVC,Grocery Stores
2834,"Annexon, Inc.",5.0,598.16M,ANNX,Biotechnology
2835,"Cracker Barrel Old Country Store, Inc.",26.74,597.67M,CBRL,Restaurants
2836,Hingham Institution for Savings,273.56,597.52M,HIFS,Banks - Regional
2837,REalloys Inc.,9.98,597.11M,ALOY,Other Industrial Metals & Mining
2838,"TPG RE Finance Trust, Inc.",7.61,596.27M,TRTX,REIT - Mortgage
2839,"Replimune Group, Inc.",7.22,596.17M,REPL,Biotechnology
2840,Tron Inc.,2.17,595.41M,TRON,Leisure
2841,"Mitek Systems, Inc.",13.1,593.64M,MITK,Software - Application
2842,"Red River Bancshares, Inc.",89.9,591.24M,RRBI,Banks - Regional
2843,"Tactile Systems Technology, Inc.",26.34,590.93M,TCMD,Medical Devices
2844,Bain Capital GSS Investment Corp.,10.1,589.84M,BCSS,Shell Companies
2845,"CTO Realty Growth, Inc.",18.1,589.33M,CTO,REIT - Diversified
2846,"Vital Farms, Inc.",13.14,588.63M,VITL,Farm Products
2847,EQV Ventures Acquisition Corp. II,10.07,588.57M,EVAC,Shell Companies
2848,"Kimball Electronics, Inc.",24.19,585.74M,KE,Electrical Equipment & Parts
2849,"TaskUs, Inc.",6.46,585.03M,TASK,Information Technology Services
2850,American Woodmark Corporation,40.1,584.24M,AMWD,"Furnishings, Fixtures & Appliances"
2851,Himalaya Shipping Ltd.,12.52,584.06M,HSHP,Marine Shipping
2852,"Cantor Equity Partners IV, Inc.",10.21,583.50M,CEPF,Shell Companies
2853,"Northpointe Bancshares, Inc.",16.9,582.95M,NPB,Banks - Regional
2854,Gogo Inc.,4.31,580.48M,GOGO,Telecom Services
2855,Trilogy Metals Inc.,3.36,579.62M,TMQ,Other Industrial Metals & Mining
2856,"LendingTree, Inc.",41.72,578.06M,TREE,Financial Conglomerates
2857,"Hyster-Yale, Inc.",32.23,576.92M,HY,Farm & Heavy Construction Machinery
2858,LSI Industries Inc.,18.53,576.90M,LYTS,Electronic Components
2859,Waterdrop Inc.,1.59,576.34M,WDH,Insurance - Diversified
2860,GCM Grosvenor Inc.,9.45,574.66M,GCMG,Asset Management
2861,FTAI Infrastructure Inc.,4.84,571.91M,FIP,Conglomerates
2862,Metalla Royalty & Streaming Ltd.,6.24,571.82M,MTA,Other Precious Metals & Mining
2863,"Shutterstock, Inc.",16.08,571.59M,SSTK,Internet Content & Information
2864,Galiano Gold Inc.,2.28,570.34M,GAU,Gold
2865,"Greenlight Capital Re, Ltd.",16.76,569.57M,GLRE,Insurance - Reinsurance
2866,Clean Energy Fuels Corp.,2.59,568.33M,CLNE,Oil & Gas Refining & Marketing
2867,Apartment Investment and Management Company,3.95,568.29M,AIV,REIT - Residential
2868,"MarineMax, Inc.",25.79,568.09M,HZO,Specialty Retail
2869,NioCorp Developments Ltd.,4.53,567.70M,NB,Other Industrial Metals & Mining
2870,"Corsair Gaming, Inc.",5.32,566.98M,CRSR,Computer Hardware
2871,California BanCorp,17.52,566.37M,BCAL,Banks - Regional
2872,Cognyte Software Ltd.,7.75,566.36M,CGNT,Software - Infrastructure
2873,"MiMedx Group, Inc.",3.81,566.04M,MDXG,Biotechnology
2874,Churchill Capital Corp XI,10.14,564.80M,CCXI,Shell Companies
2875,Ur-Energy Inc.,1.42,564.24M,URG,Uranium
2876,Ethan Allen Interiors Inc.,22.16,563.89M,ETD,"Furnishings, Fixtures & Appliances"
2877,YD Bio Limited,7.98,562.76M,YDES,Biotechnology
2878,Zura Bio Limited,5.93,562.64M,ZURA,Biotechnology
2879,"MSC Income Fund, Inc.",12.22,562.44M,MSIF,Asset Management
2880,"SunCoke Energy, Inc.",6.64,562.18M,SXC,Coking Coal
2881,"Beazer Homes USA, Inc.",19.04,561.81M,BZH,Residential Construction
2882,Riskified Ltd.,3.79,561.50M,RSKD,Software - Application
2883,"Cass Information Systems, Inc.",43.39,559.78M,CASS,Specialty Business Services
2884,"Northfield Bancorp, Inc. (Staten Island, NY)",13.38,558.80M,NFBK,Banks - Regional
2885,"Sweetgreen, Inc.",4.7,558.34M,SG,Restaurants
2886,"Krispy Kreme, Inc.",3.23,556.21M,DNUT,Grocery Stores
2887,"Cytek Biosciences, Inc.",4.32,555.34M,CTKB,Medical Devices
2888,Cardinal Infrastructure Group Inc.,36.3,555.14M,CDNL,Engineering & Construction
2889,Universal Health Realty Income Trust,39.8,552.21M,UHT,REIT - Healthcare Facilities
2890,"Vishay Precision Group, Inc.",41.55,551.75M,VPG,Scientific & Technical Instruments
2891,"Tectonic Therapeutic, Inc.",29.35,551.09M,TECX,Biotechnology
2892,Karat Packaging Inc.,27.6,551.00M,KRT,Packaging & Containers
2893,"Allogene Therapeutics, Inc.",2.26,550.94M,ALLO,Biotechnology
2894,Gladstone Investment Corporation,13.81,549.94M,GAIN,Asset Management
2895,Park Aerospace Corp.,27.52,548.36M,PKE,Aerospace & Defense
2896,TAT Technologies Ltd.,42.2,547.89M,TATT,Aerospace & Defense
2897,"LightPath Technologies, Inc.",9.49,547.65M,LPTH,Electronic Components
2898,"EverQuote, Inc.",15.19,547.29M,EVER,Internet Content & Information
2899,Arrow Financial Corporation,33.02,545.21M,AROW,Banks - Regional
2900,Dingdong (Cayman) Limited,2.51,544.09M,DDL,Grocery Stores
2901,"SI-BONE, Inc.",12.29,542.79M,SIBN,Medical Devices
2902,"Axogen, Inc.",31.28,542.38M,AXGN,Medical Devices
2903,American Coastal Insurance Corporation,11.13,541.54M,ACIC,Insurance - Property & Casualty
2904,"Cable One, Inc.",95.21,540.05M,CABO,Telecom Services
2905,"Ennis, Inc.",21.32,539.24M,EBF,Business Equipment & Supplies
2906,"111, Inc.",6.24,539.03M,YI,Medical Distribution
2907,"Zevra Therapeutics, Inc.",9.16,537.80M,ZVRA,Biotechnology
2908,Valneva SE,6.17,534.99M,VALN,Biotechnology
2909,Western Copper and Gold Corporation,2.4,534.65M,WRN,Other Industrial Metals & Mining
2910,AH REALTY TRUST INC,5.15,534.10M,AHRT,REIT - Diversified
2911,American Exceptionalism Acquisition Corp. A,10.77,532.69M,AEXA,Shell Companies
2912,Bar Harbor Bankshares,31.81,532.57M,BHB,Banks - Regional
2913,Gladstone Commercial Corporation,10.99,531.99M,GOOD,REIT - Diversified
2914,International Tower Hill Mines Ltd.,2.11,531.68M,THM,Gold
2915,"Movado Group, Inc.",24.05,530.98M,MOV,Luxury Goods
2916,"Angel Studios, Inc.",3.13,530.56M,ANGX,Entertainment
