No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
80,Novo Nordisk A/S,36.04,160.92B,NVO,Drug Manufacturers - General,Healthcare
81,"Intuitive Surgical, Inc.",452.66,160.75B,ISRG,Medical Instruments & Supplies,Healthcare
82,"Banco Santander, S.A.",10.65,156.44B,SAN,Banks - Diversified,Financials
83,"CEMEX, S.A.B. de C.V.",10.75,155.96B,CX,Building Materials,Materials
84,Pfizer Inc.,27.04,153.76B,PFE,Drug Manufacturers - General,Healthcare
85,Arm Holdings plc,144.13,153.07B,ARM,Semiconductors,Technology
86,Deere & Company,566.64,153.05B,DE,Farm & Heavy Construction Machinery,Industrials
87,The Toronto-Dominion Bank,91.37,152.62B,TD,Banks - Diversified,Financials
88,Amphenol Corporation,123.62,151.96B,APH,Electronic Components,Technology
89,"Arista Networks, Inc.",120.77,151.75B,ANET,Computer Hardware,Technology
90,"Analog Devices, Inc.",307.44,150.09B,ADI,Semiconductors,Technology
91,The Boeing Company,190.52,149.62B,BA,Aerospace & Defense,Industrials
92,Shopify Inc.,111.85,145.86B,SHOP,Software - Application,Technology
93,"BlackRock, Inc.",933.85,145.25B,BLK,Asset Management,Financials
94,"Uber Technologies, Inc.",69.18,142.38B,UBER,Software - Application,Technology
95,Honeywell International Inc.,223.12,141.83B,HON,Conglomerates,Industrials
96,Union Pacific Corporation,238.79,141.70B,UNP,Railroads,Industrials
97,Lockheed Martin Corporation,615.84,141.69B,LMT,Aerospace & Defense,Industrials
98,PDD Holdings Inc.,99.81,138.95B,PDD,Internet Retail,Consumer Discretionary
99,Eaton Corporation plc,357.36,138.62B,ETN,Specialty Industrial Machinery,Industrials
100,Welltower Inc.,195.77,136.60B,WELL,REIT - Healthcare Facilities,Real Estate
101,Anheuser-Busch InBev SA/NV,67.57,136.44B,BUD,Beverages - Brewers,Consumer Staples
102,QUALCOMM Incorporated,127.11,135.63B,QCOM,Semiconductors,Technology
103,British American Tobacco p.l.c.,57.80,133.50B,BTI,Tobacco,Consumer Staples
