No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
2302,Lindsay Corporation,117.72,1.23B,LNN,Farm & Heavy Construction Machinery,Industrials
2303,"Monte Rosa Therapeutics, Inc.",15.38,1.23B,GLUE,Biotechnology,Healthcare
2304,Ladder Capital Corp,9.67,1.23B,LADR,REIT - Mortgage,Real Estate
2305,"Dream Finders Homes, Inc.",13.39,1.23B,DFH,Residential Construction,Consumer Discretionary
2306,"Ardent Health, Inc.",8.59,1.23B,ARDT,Medical Care Facilities,Healthcare
2307,T1 Energy Inc.,5.76,1.22B,TE,Electrical Equipment & Parts,Industrials
2308,BlackRock Science and Technology Trust,35.16,1.22B,BST,Asset Management,Financials
2309,Telesat Corporation,37.04,1.22B,TSAT,Communication Equipment,Technology
2310,WEBTOON Entertainment Inc.,9.12,1.22B,WBTN,Internet Content & Information,Communication Services
2311,Deluxe Corporation,26.99,1.22B,DLX,Conglomerates,Industrials
2312,AtaiBeckley Inc.,3.350,1.22B,ATAI,Biotechnology,Healthcare
2313,"UMH Properties, Inc.",14.31,1.22B,UMH,REIT - Residential,Real Estate
2314,Empresa Distribuidora y Comercializadora Norte Sociedad AnÃ³nima,27.75,1.22B,EDN,Utilities - Regulated Electric,Utilities
2315,"ORIC Pharmaceuticals, Inc.",12.06,1.21B,ORIC,Biotechnology,Healthcare
2316,Innodata Inc.,37.12,1.21B,INOD,Information Technology Services,Technology
2317,Opera Limited,13.49,1.21B,OPRA,Internet Content & Information,Communication Services
2318,DoubleLine Income Solutions Fund,10.53,1.21B,DSL,Asset Management - Income,Financials
2319,"Alexander's, Inc.",236.10,1.21B,ALX,REIT - Retail,Real Estate
2320,Capital Clean Energy Carriers Corp.,20.40,1.21B,CCEC,Marine Shipping,Industrials
2321,"Distribution Solutions Group, Inc.",26.02,1.20B,DSGR,Industrial Distribution,Industrials
2322,Prospect Capital Corporation,2.490,1.20B,PSEC,Asset Management,Financials
2323,Perella Weinberg Partners,17.23,1.20B,PWP,Capital Markets,Financials
2324,Morgan Stanley Direct Lending Fund,14.01,1.20B,MSDL,Asset Management,Financials
2325,ProFrac Holding Corp.,6.63,1.20B,ACDC,Oil & Gas Equipment & Services,Energy
2326,Nordic American Tankers Limited,5.66,1.20B,NAT,Oil & Gas Midstream,Energy
2327,Wave Life Sciences Ltd.,6.37,1.20B,WVE,Biotechnology,Healthcare
2328,World Kinect Corporation,23.36,1.20B,WKC,Oil & Gas Refining & Marketing,Energy
2329,"Astrana Health, Inc.",24.19,1.20B,ASTH,Medical Care Facilities,Healthcare
2330,"Astec Industries, Inc.",52.14,1.19B,ASTE,Farm & Heavy Construction Machinery,Industrials
2331,"Gibraltar Industries, Inc.",40.39,1.19B,ROCK,Building Products & Equipment,Industrials
2332,"Olema Pharmaceuticals, Inc.",13.67,1.19B,OLMA,Biotechnology,Healthcare
2333,"Sharplink, Inc.",6.04,1.19B,SBET,Capital Markets,Financials
2334,Bitfarms Ltd.,1.950,1.19B,BITF,Capital Markets,Financials
2335,IDT Corporation,47.42,1.19B,IDT,Telecom Services,Communication Services
2336,Trinity Capital Inc.,14.29,1.19B,TRIN,Asset Management,Financials
2337,Global Industrial Company,31.09,1.19B,GIC,Industrial Distribution,Industrials
2338,Tennant Company,66.50,1.19B,TNC,Specialty Industrial Machinery,Industrials
2339,DBV Technologies S.A.,20.00,1.18B,DBVT,Biotechnology,Healthcare
2340,"ICF International, Inc.",64.77,1.18B,ICFI,Consulting Services,Industrials
2341,FinVolution Group,4.660,1.18B,FINV,Credit Services,Financials
2342,"Willdan Group, Inc.",79.79,1.18B,WLDN,Engineering & Construction,Industrials
2343,Green Plains Inc.,16.89,1.18B,GPRE,Chemicals,Materials
2344,Two Harbors Investment Corp.,11.22,1.18B,TWO,REIT - Mortgage,Real Estate
2345,"Corvus Pharmaceuticals, Inc.",14.01,1.18B,CRVS,Biotechnology,Healthcare
2346,Lightspeed Commerce Inc.,8.54,1.17B,LSPD,Software - Application,Technology
2347,"Donnelley Financial Solutions, Inc.",45.76,1.17B,DFIN,Software - Application,Technology
2348,"Vir Biotechnology, Inc.",8.40,1.17B,VIR,Biotechnology,Healthcare
2349,IRSA Inversiones y Representaciones Sociedad AnÃ³nima,15.14,1.17B,IRS,Real Estate Services,Real Estate
2350,"Clear Channel Outdoor Holdings, Inc.",2.350,1.17B,CCO,Advertising Agencies,Communication Services
2351,"LSB Industries, Inc.",16.30,1.17B,LXU,Chemicals,Materials
2352,"Youdao, Inc.",9.95,1.17B,DAO,Education & Training Services,Consumer Staples
2353,"Taysha Gene Therapies, Inc.",4.070,1.17B,TSHA,Biotechnology,Healthcare
2354,Loma Negra CompaÃ±Ã­a Industrial Argentina Sociedad AnÃ³nima,10.01,1.17B,LOMA,Building Materials,Materials
2355,Progress Software Corporation,27.67,1.17B,PRGS,Software - Infrastructure,Technology
2356,Sigma Lithium Corporation,10.46,1.17B,SGML,Other Industrial Metals & Mining,Materials
2357,"Energizer Holdings, Inc.",17.01,1.16B,ENR,Electrical Equipment & Parts,Industrials
2358,"CBL & Associates Properties, Inc.",37.49,1.16B,CBL,REIT - Retail,Real Estate
2359,"Tripadvisor, Inc.",10.11,1.16B,TRIP,Travel Services,Consumer Discretionary
2360,"iQIYI, Inc.",1.200,1.16B,IQ,Entertainment,Communication Services
2361,"TETRA Technologies, Inc.",8.62,1.16B,TTI,Conglomerates,Industrials
2362,Peoples Bancorp Inc.,32.05,1.15B,PEBO,Banks - Regional,Financials
2363,Tsakos Energy Navigation Limited,38.14,1.15B,TEN,Oil & Gas Midstream,Energy
2364,McEwen Inc.,19.24,1.14B,MUX,Other Precious Metals & Mining,Materials
2365,Willis Lease Finance Corporation,168.53,1.14B,WLFC,Rental & Leasing Services,Industrials
2366,Grupo Supervielle S.A.,8.27,1.14B,SUPV,Banks - Regional,Financials
2367,Gilat Satellite Networks Ltd.,15.39,1.14B,GILT,Communication Equipment,Technology
2368,Enovix Corporation,5.23,1.14B,ENVX,Electrical Equipment & Parts,Industrials
2369,"Kestra Medical Technologies, Ltd.",19.46,1.14B,KMTS,Medical Instruments & Supplies,Healthcare
2370,Great Lakes Dredge & Dock Corporation,16.97,1.13B,GLDD,Engineering & Construction,Industrials
2371,Amalgamated Financial Corp.,37.95,1.13B,AMAL,Banks - Regional,Financials
2372,"U.S. Physical Therapy, Inc.",74.75,1.13B,USPH,Medical Care Facilities,Healthcare
2373,"Five9, Inc.",14.43,1.13B,FIVN,Software - Infrastructure,Technology
2374,"PROG Holdings, Inc.",28.51,1.13B,PRG,Rental & Leasing Services,Industrials
2375,"C3.ai, Inc.",7.76,1.13B,AI,Software - Infrastructure,Technology
2376,RLJ Lodging Trust,7.48,1.13B,RLJ,REIT - Hotel & Motel,Real Estate
2377,Lithium Argentina AG,6.25,1.12B,LAR,Other Industrial Metals & Mining,Materials
2378,"Array Technologies, Inc.",7.33,1.12B,ARRY,Solar,Technology
2379,Stepan Company,49.49,1.12B,SCL,Specialty Chemicals,Materials
2380,"G-III Apparel Group, Ltd.",26.55,1.12B,GIII,Apparel Manufacturing,Consumer Discretionary
2381,Pharming Group N.V.,16.31,1.12B,PHAR,Biotechnology,Healthcare
2382,i-80 Gold Corp.,1.430,1.12B,IAUX,Gold,Materials
2383,Coastal Financial Corporation,73.39,1.12B,CCB,Banks - Regional,Financials
2384,"American Assets Trust, Inc.",18.18,1.12B,AAT,REIT - Diversified,Real Estate
2385,"XPEL, Inc.",40.42,1.12B,XPEL,Auto Parts,Consumer Discretionary
2386,Sabine Royalty Trust,76.29,1.11B,SBR,Oil & Gas Midstream,Energy
2387,"Ouster, Inc.",17.66,1.11B,OUST,Electronic Components,Technology
2388,"Shoals Technologies Group, Inc.",6.62,1.11B,SHLS,Solar,Technology
2389,"Via Transportation, Inc.",13.64,1.11B,VIA,Software - Application,Technology
2390,"Savers Value Village, Inc.",7.13,1.11B,SVV,Specialty Retail,Consumer Discretionary
2391,"Trupanion, Inc.",25.45,1.11B,TRUP,Insurance - Property & Casualty,Financials
2392,AGI Inc,6.91,1.11B,AGBK,Banks - Regional,Financials
2393,Tompkins Financial Corporation,76.46,1.10B,TMP,Banks - Regional,Financials
2394,"Lindblad Expeditions Holdings, Inc.",16.87,1.10B,LIND,Travel Services,Consumer Discretionary
2395,ASA Gold and Precious Metals Limited,58.51,1.10B,ASA,Asset Management,Financials
2396,"Phoenix Education Partners, Inc.",30.67,1.10B,PXED,Education & Training Services,Consumer Staples
2397,Radware Ltd.,25.74,1.10B,RDWR,Software - Infrastructure,Technology
2398,Ryerson Holding Corporation,21.27,1.10B,RYZ,Metal Fabrication,Industrials
2399,Lucky Strike Entertainment Corporation,7.93,1.09B,LUCK,Leisure,Consumer Discretionary
2400,"Community Trust Bancorp, Inc.",59.92,1.09B,CTBI,Banks - Regional,Financials
2401,Preferred Bank,89.37,1.08B,PFBC,Banks - Regional,Financials
2402,Highlander Silver Corp.,5.35,1.08B,HSLV,Silver,Materials
2403,"BrightView Holdings, Inc.",11.49,1.08B,BV,Specialty Business Services,Industrials
2404,"Jefferson Capital, Inc.",18.56,1.08B,JCAP,Credit Services,Financials
2405,UP Fintech Holding Limited,6.07,1.08B,TIGR,Capital Markets,Financials
2406,"Lightwave Logic, Inc.",7.24,1.08B,LWLG,Specialty Chemicals,Materials
2407,LuxExperience B.V.,7.83,1.07B,LUXE,Luxury Goods,Consumer Discretionary
2408,InnovAge Holding Corp.,7.91,1.07B,INNV,Medical Care Facilities,Healthcare
2409,"Excelerate Energy, Inc.",33.46,1.07B,EE,Oil & Gas Midstream,Energy
2410,"Septerna, Inc.",23.87,1.07B,SEPN,Biotechnology,Healthcare
2411,Vizsla Silver Corp.,3.150,1.07B,VZLA,Other Industrial Metals & Mining,Materials
2412,POSCO Holdings Inc.,56.44,1.07B,PKX,Steel,Materials
2413,Genius Sports Limited,4.330,1.07B,GENI,Internet Content & Information,Communication Services
2414,CONMED Corporation,34.58,1.07B,CNMD,Medical Devices,Healthcare
2415,Elemental Royalty Corporation,17.41,1.06B,ELE,Other Precious Metals & Mining,Materials
2416,"Safety Insurance Group, Inc.",72.71,1.06B,SAFT,Insurance - Property & Casualty,Financials
2417,Allient Inc.,62.42,1.06B,ALNT,Electronic Components,Technology
2418,ATRenew Inc.,4.810,1.06B,RERE,Internet Retail,Consumer Discretionary
2419,NANO Nuclear Energy Inc.,20.29,1.06B,NNE,Specialty Industrial Machinery,Industrials
2420,"MasterBrand, Inc.",8.28,1.06B,MBC,"Furnishings, Fixtures & Appliances",Consumer Discretionary
2421,Phoenix New Media Limited,1.830,1.06B,FENG,Internet Content & Information,Communication Services
2422,Tortoise Energy Infrastructure Corporation,49.92,1.05B,TYG,Asset Management,Financials
2423,"American Public Education, Inc.",57.24,1.05B,APEI,Education & Training Services,Consumer Staples
2424,Savara Inc.,5.14,1.05B,SVRA,Biotechnology,Healthcare
2425,"Marten Transport, Ltd.",12.89,1.05B,MRTN,Trucking,Industrials
2426,"Upbound Group, Inc.",18.07,1.05B,UPBD,Software - Application,Technology
2427,"Hagerty, Inc.",10.39,1.05B,HGTY,Insurance - Property & Casualty,Financials
2428,"Zenas BioPharma, Inc.",18.21,1.04B,ZBIO,Biotechnology,Healthcare
2429,"Ramaco Resources, Inc.",15.56,1.04B,METC,Coking Coal,Materials
2430,"ADTRAN Holdings, Inc.",12.93,1.04B,ADTN,Communication Equipment,Technology
2431,"EyePoint, Inc.",12.50,1.04B,EYPT,Biotechnology,Healthcare
2432,"Papa John's International, Inc.",31.76,1.04B,PZZA,Restaurants,Consumer Discretionary
2433,Seneca Foods Corporation,151.78,1.04B,SENEA,Packaged Foods,Consumer Staples
2434,Permian Basin Royalty Trust,22.22,1.04B,PBT,Oil & Gas Midstream,Energy
2435,Playtika Holding Corp.,2.730,1.04B,PLTK,Electronic Gaming & Multimedia,Communication Services
2436,Heritage Financial Corporation,25.17,1.04B,HFWA,Banks - Regional,Financials
2437,Chimera Investment Corporation,12.41,1.04B,CIM,REIT - Mortgage,Real Estate
2438,"The Pennant Group, Inc.",29.84,1.03B,PNTG,Medical Care Facilities,Healthcare
2439,Harmonic Inc.,9.38,1.03B,HLIT,Communication Equipment,Technology
2440,Teekay Corporation Ltd.,12.00,1.03B,TK,Oil & Gas Midstream,Energy
2441,"Evolv Technologies Holdings, Inc.",5.75,1.03B,EVLV,Security & Protection Services,Industrials
2442,"Old Second Bancorp, Inc.",19.57,1.03B,OSBC,Banks - Regional,Financials
2443,"Collegium Pharmaceutical, Inc.",32.44,1.03B,COLL,Drug Manufacturers - Specialty & Generic,Healthcare
2444,Canada Goose Holdings Inc.,10.56,1.03B,GOOS,Apparel Manufacturing,Consumer Discretionary
2445,"MillerKnoll, Inc.",15.02,1.03B,MLKN,"Furnishings, Fixtures & Appliances",Consumer Discretionary
2446,"The RealReal, Inc.",8.57,1.02B,REAL,Luxury Goods,Consumer Discretionary
2447,Vestis Corporation,7.71,1.02B,VSTS,Rental & Leasing Services,Industrials
2448,Rumble Inc.,4.710,1.02B,RUM,Internet Content & Information,Communication Services
2449,"Goosehead Insurance, Inc.",41.10,1.01B,GSHD,Insurance Brokers,Financials
2450,"Goldman Sachs BDC, Inc.",8.99,1.01B,GSBD,Asset Management,Financials
2451,Biglari Holdings Inc.,"1,610.02",1.01B,BH.A,Restaurants,Consumer Discretionary
2452,UWM Holdings Corporation,3.42,1.01B,UWMC,Mortgage Finance,Financials
2453,FirstSun Capital Bancorp,36.06,1.01B,FSUN,Banks - Regional,Financials
2454,Bicara Therapeutics Inc.,18.37,1.01B,BCAX,Biotechnology,Healthcare
2455,QuidelOrtho Corporation,14.78,1.01B,QDEL,Medical Devices,Healthcare
2456,"CRA International, Inc.",153.16,1.01B,CRAI,Consulting Services,Industrials
2457,Ituran Location and Control Ltd.,50.54,1.01B,ITRN,Scientific & Technical Instruments,Technology
2458,OceanFirst Financial Corp.,17.42,999.94M,OCFC,Banks - Regional,Financials
2459,"Insperity, Inc.",26.49,999.43M,NSP,Staffing & Employment Services,Industrials
2460,"USA TODAY Co., Inc.",6.79,998.86M,TDAY,Publishing,Communication Services
2461,Versamet Royalties Corporation,9.5,998.68M,VMET,Other,-
2462,"Gold.com, Inc.",39.42,997.21M,GOLD,Capital Markets,Financials
2463,"Aehr Test Systems, Inc.",32.52,996.00M,AEHR,Semiconductor Equipment & Materials,Technology
2464,MidCap Financial Investment Corporation,10.79,994.97M,MFIC,Asset Management,Financials
2465,"Butterfly Network, Inc.",3.92,994.68M,BFLY,Medical Devices,Healthcare
2466,"Easterly Government Properties, Inc.",21.41,991.68M,DEA,REIT - Office,Real Estate
2467,AbCellera Biologics Inc.,3.27,991.33M,ABCL,Biotechnology,Healthcare
2468,"Pursuit Attractions and Hospitality, Inc.",35.34,990.21M,PRSU,Travel Services,Consumer Discretionary
2469,"National Presto Industries, Inc.",137.95,988.32M,NPK,Aerospace & Defense,Industrials
2470,"Mission Produce, Inc.",13.94,987.59M,AVO,Food Distribution,Consumer Staples
2471,"Pacira BioSciences, Inc.",22.88,984.33M,PCRX,Drug Manufacturers - Specialty & Generic,Healthcare
2472,Northeast Bank,108.8,983.72M,NBN,Banks - Regional,Financials
2473,"Marcus & Millichap, Inc.",25.71,983.01M,MMI,Real Estate Services,Real Estate
2474,Edgewell Personal Care Company,21.02,981.95M,EPC,Household & Personal Products,Consumer Staples
2475,"KalVista Pharmaceuticals, Inc.",19.33,977.06M,KALV,Biotechnology,Healthcare
2476,PennyMac Mortgage Investment Trust,11.2,974.59M,PMT,REIT - Mortgage,Real Estate
2477,Alvotech,3.11,973.49M,ALVO,Drug Manufacturers - Specialty & Generic,Healthcare
2478,International General Insurance Holdings Ltd.,23.16,971.75M,IGIC,Insurance - Diversified,Financials
2479,Centerspace,57.77,969.05M,CSR,REIT - Residential,Real Estate
2480,Genco Shipping & Trading Limited,22.34,967.72M,GNK,Marine Shipping,Industrials
2481,Super Hi International Holding Ltd.,14.87,966.99M,HDL,Restaurants,Consumer Discretionary
2482,"First Mid Bancshares, Inc.",40.12,966.19M,FMBH,Banks - Regional,Financials
2483,"Compass Minerals International, Inc.",23.05,964.95M,CMP,Other Industrial Metals & Mining,Materials
2484,"eXp World Holdings, Inc.",5.99,964.69M,EXPI,Real Estate Services,Real Estate
2485,Safehold Inc.,13.44,964.41M,SAFE,REIT - Diversified,Real Estate
2486,"MFA Financial, Inc.",9.44,963.77M,MFA,REIT - Mortgage,Real Estate
2487,Oaktree Specialty Lending Corporation,10.94,963.66M,OCSL,Asset Management,Financials
2488,Target Hospitality Corp.,9.61,962.47M,TH,Specialty Business Services,Industrials
2489,"XPLR Infrastructure, LP",10.24,962.22M,XIFR,Utilities - Renewable,Utilities
2490,Cronos Group Inc.,2.5,960.82M,CRON,Drug Manufacturers - Specialty & Generic,Healthcare
2491,Middlesex Water Company,51.8,959.44M,MSEX,Utilities - Regulated Water,Utilities
2492,Avino Silver & Gold Mines Ltd.,5.94,956.84M,ASM,Other Precious Metals & Mining,Materials
2493,"Douglas Dynamics, Inc.",41.42,956.17M,PLOW,Auto Parts,Consumer Discretionary
2494,"SS Innovations International, Inc.",4.91,954.29M,SSII,Medical Devices,Healthcare
2495,"PureCycle Technologies, Inc.",5.28,953.56M,PCT,Pollution & Treatment Controls,Industrials
2496,Rezolve AI PLC,2.39,953.20M,RZLV,Software - Infrastructure,Technology
2497,Yalla Group Limited,6.01,950.00M,YALA,Software - Application,Technology
2498,"ArriVent BioPharma, Inc.",21.46,948.57M,AVBP,Biotechnology,Healthcare
2499,"LegalZoom.com, Inc.",5.48,947.61M,LZ,Specialty Business Services,Industrials
2500,"Limbach Holdings, Inc.",80.8,943.69M,LMB,Building Products & Equipment,Industrials
2501,"Universal Insurance Holdings, Inc.",33.67,943.04M,UVE,Insurance - Property & Casualty,Financials
2502,Univest Financial Corporation,33.52,941.36M,UVSP,Banks - Regional,Financials
2503,"Sinclair, Inc.",13.14,941.07M,SBGI,Broadcasting,Communication Services
2504,Chagee Holdings Limited,9.53,941.03M,CHA,Restaurants,Consumer Discretionary
2505,Unitil Corporation,52.27,940.02M,UTL,Utilities - Diversified,Utilities
2506,"Compass Therapeutics, Inc.",5.21,938.26M,CMPX,Biotechnology,Healthcare
2507,"NeoGenomics, Inc.",7.19,933.35M,NEO,Diagnostics & Research,Healthcare
2508,Sify Technologies Limited,12.9,933.32M,SIFY,Telecom Services,Communication Services
2509,"United Fire Group, Inc.",36.51,931.81M,UFCS,Insurance - Property & Casualty,Financials
2510,"Xeris Biopharma Holdings, Inc.",5.4,931.13M,XERS,Biotechnology,Healthcare
2511,"NB Bancorp, Inc.",20.4,930.34M,NBBK,Banks - Regional,Financials
2512,"Daktronics, Inc.",19.25,929.74M,DAKT,Electronic Components,Technology
2513,"Coursera, Inc.",5.51,926.78M,COUR,Education & Training Services,Consumer Staples
2514,uniQure N.V.,14.77,923.56M,QURE,Biotechnology,Healthcare
2515,Eastman Kodak Company,9.46,922.35M,KODK,Specialty Business Services,Industrials
2516,Pagaya Technologies Ltd.,11.17,921.82M,PGY,Software - Infrastructure,Technology
2517,"Esquire Financial Holdings, Inc.",106.52,919.99M,ESQ,Banks - Regional,Financials
2518,"Equity Bancshares, Inc.",43.71,917.57M,EQBK,Banks - Regional,Financials
2519,"Arhaus, Inc.",6.5,917.30M,ARHS,Specialty Retail,Consumer Discretionary
2520,Oppenheimer Holdings Inc.,87.46,917.21M,OPY,Capital Markets,Financials
2521,"Teladoc Health, Inc.",5.14,916.96M,TDOC,Health Information Services,Healthcare
2522,"Azenta, Inc.",19.9,916.62M,AZTA,Medical Instruments & Supplies,Healthcare
2523,Oil-Dri Corporation of America,63.28,916.29M,ODC,Specialty Chemicals,Materials
2524,"Certara, Inc.",5.75,915.05M,CERT,Health Information Services,Healthcare
2525,"Kayne Anderson BDC, Inc.",13.66,914.91M,KBDC,Asset Management,Financials
2526,"Liquidity Services, Inc.",29.49,914.60M,LQDT,Internet Retail,Consumer Discretionary
2527,Ategrity Specialty Insurance Company Holdings,19.02,914.23M,ASIC,Insurance - Property & Casualty,Financials
2528,Burke & Herbert Financial Services Corp.,60.78,913.99M,BHRB,Banks - Regional,Financials
2529,"John B. Sanfilippo & Son, Inc.",77.59,906.78M,JBSS,Packaged Foods,Consumer Staples
2530,Burford Capital Limited,4.14,906.24M,BUR,Asset Management,Financials
2531,"Southside Bancshares, Inc.",30.4,903.96M,SBSI,Banks - Regional,Financials
2532,Hello Group Inc.,5.74,901.56M,MOMO,Internet Content & Information,Communication Services
2533,Canadian Solar Inc.,13.45,900.54M,CSIQ,Solar,Technology
2534,"Capitol Federal Financial, Inc.",6.92,898.52M,CFFN,Banks - Regional,Financials
2535,Geron Corporation,1.4,896.76M,GERN,Biotechnology,Healthcare
2536,"BioLife Solutions, Inc.",18.59,895.07M,BLFS,Medical Instruments & Supplies,Healthcare
2537,Osisko Development Corp.,2.93,892.18M,ODV,Gold,Materials
2538,"HighPeak Energy, Inc.",7.1,891.67M,HPK,Oil & Gas Exploration & Production,Energy
2539,"Emerald Holding, Inc.",4.5,890.59M,EEX,Advertising Agencies,Communication Services
2540,"Winnebago Industries, Inc.",31.47,889.52M,WGO,Recreational Vehicles,Consumer Discretionary
2541,Critical Metals Corp.,7.04,888.65M,CRML,Other Industrial Metals & Mining,Materials
2542,"Bitgo Holdings, Inc.",7.67,886.64M,BTGO,Software - Application,Technology
2543,STAAR Surgical Company,17.89,885.78M,STAA,Medical Instruments & Supplies,Healthcare
2544,Tevogen Bio Holdings Inc.,4.365,883.55M,TVGN,Biotechnology,Healthcare
2545,"Cogent Communications Holdings, Inc.",17.62,882.10M,CCOI,Telecom Services,Communication Services
2546,JBG SMITH Properties,14.9,878.38M,JBGS,REIT - Office,Real Estate
2547,"Penguin Solutions, Inc.",16.69,877.23M,PENG,Information Technology Services,Technology
2548,"Accel Entertainment, Inc.",10.75,876.85M,ACEL,Gambling,Consumer Discretionary
2549,"LGI Homes, Inc.",37.73,872.81M,LGIH,Residential Construction,Consumer Discretionary
2550,"Business First Bancshares, Inc.",26.6,870.10M,BFST,Banks - Regional,Financials
2551,"Sun Country Airlines Holdings, Inc.",16.29,867.01M,SNCY,Airlines,Industrials
2552,"N-able, Inc.",4.6,866.53M,NABL,Information Technology Services,Technology
2553,Graham Corporation,78.13,865.12M,GHM,Specialty Industrial Machinery,Industrials
2554,"Virtus Investment Partners, Inc.",129.11,864.46M,VRTS,Asset Management,Financials
2555,Amerant Bancorp Inc.,21.48,864.16M,AMTB,Banks - Regional,Financials
2556,Cementos Pacasmayo S.A.A.,10.19,863.84M,CPAC,Building Materials,Materials
2557,"Amphastar Pharmaceuticals, Inc.",19.01,862.49M,AMPH,Drug Manufacturers - Specialty & Generic,Healthcare
2558,BlackSky Technology Inc.,23.29,861.61M,BKSY,Specialty Business Services,Industrials
2559,NCR Voyix Corporation,6.19,860.48M,VYX,Information Technology Services,Technology
2560,"Talkspace, Inc.",5.15,860.44M,TALK,Health Information Services,Healthcare
2561,"OPKO Health, Inc.",1.12,859.83M,OPK,Diagnostics & Research,Healthcare
2562,"CareDx, Inc.",16.78,859.41M,CDNA,Diagnostics & Research,Healthcare
2563,Evotec SE,2.42,859.36M,EVO,Drug Manufacturers - Specialty & Generic,Healthcare
2564,"Amplitude, Inc.",6.41,856.93M,AMPL,Software - Application,Technology
2565,Criteo S.A.,17.18,856.58M,CRTO,Advertising Agencies,Communication Services
2566,Wallbox N.V.,2.51,854.40M,WBX,Electronic Components,Technology
2567,"Inhibrx Biosciences, Inc.",58.39,852.90M,INBX,Biotechnology,Healthcare
2568,Mercantile Bank Corporation,49.33,852.08M,MBWM,Banks - Regional,Financials
2569,D-Market Elektronik Hizmetler ve Ticaret A.S.,2.61,850.86M,HEPS,Internet Retail,Consumer Discretionary
2570,"Newegg Commerce, Inc.",40.58,850.82M,NEGG,Internet Retail,Consumer Discretionary
2571,"Clover Health Investments, Corp.",1.75,849.85M,CLOV,Healthcare Plans,Healthcare
2572,"Empire State Realty Trust, Inc.",4.96,849.35M,ESRT,REIT - Diversified,Real Estate
2573,InMode Ltd.,13.4,849.01M,INMD,Medical Devices,Healthcare
2574,Satellogic Inc.,5.93,848.34M,SATL,Aerospace & Defense,Industrials
2575,Fortrea Holdings Inc.,9.07,848.05M,FTRE,Biotechnology,Healthcare
2576,"Eve Holding, Inc.",2.43,846.38M,EVEX,Aerospace & Defense,Industrials
2577,"Cresud Sociedad AnÃ³nima, Comercial, Inmobiliaria, Financiera y Agropecuaria",12.09,846.06M,CRESY,Conglomerates,Industrials
2578,Gentherm Incorporated,27.67,844.67M,THRM,Auto Parts,Consumer Discretionary
2579,CNB Financial Corporation,28.37,840.75M,CCNE,Banks - Regional,Financials
2580,Scholastic Corporation,38.74,840.66M,SCHL,Publishing,Communication Services
2581,ARKO Petroleum Corp.,17.64,839.14M,APC,Oil & Gas Refining & Marketing,Energy
2582,Arbutus Biopharma Corporation,4.29,838.60M,ABUS,Biotechnology,Healthcare
2583,Standard Lithium Ltd.,3.52,838.21M,SLI,Other Industrial Metals & Mining,Materials
2584,"Xencor, Inc.",11.42,837.53M,XNCR,Biotechnology,Healthcare
2585,"Barings BDC, Inc.",7.99,836.61M,BBDC,Asset Management,Financials
2586,"Porch Group, Inc.",6.76,836.10M,PRCH,Insurance - Property & Casualty,Financials
2587,UroGen Pharma Ltd.,17.17,835.87M,URGN,Biotechnology,Healthcare
2588,"Phathom Pharmaceuticals, Inc.",10.58,833.69M,PHAT,Biotechnology,Healthcare
2589,"HBT Financial, Inc.",26.52,833.57M,HBT,Banks - Regional,Financials
2590,Taboola.com Ltd.,3.0,832.80M,TBLA,Internet Content & Information,Communication Services
2591,"Horizon Bancorp, Inc.",16.21,830.37M,HBNC,Banks - Regional,Financials
2592,Central Pacific Financial Corp.,31.54,829.19M,CPF,Banks - Regional,Financials
2593,Hallador Energy Company,17.57,826.20M,HNRG,Thermal Coal,Energy
2594,Jumia Technologies AG,6.67,826.10M,JMIA,Internet Retail,Consumer Discretionary
2595,Huntington Bancshares Incorporated,15.08,825.56M,HBAN,Banks - Regional,Financials
2596,Greenfire Resources Ltd.,6.58,825.31M,GFR,Oil & Gas Exploration & Production,Energy
2597,Whitestone REIT,15.99,821.75M,WSR,REIT - Retail,Real Estate
2598,CrossAmerica Partners LP,21.54,821.43M,CAPL,Oil & Gas Refining & Marketing,Energy
2599,"MapLight Therapeutics, Inc.",18.64,820.61M,MPLT,Biotechnology,Healthcare
2600,"SchrÃ¶dinger, Inc.",11.08,817.98M,SDGR,Health Information Services,Healthcare
2601,Metropolitan Bank Holding Corp.,80.65,815.86M,MCB,Banks - Regional,Financials
2602,GH Research PLC,13.15,815.69M,GHRS,Biotechnology,Healthcare
2603,Shenandoah Telecommunications Company,14.69,812.38M,SHEN,Telecom Services,Communication Services
2604,"MetroCity Bankshares, Inc.",28.21,811.18M,MCBS,Banks - Regional,Financials
2605,Core Laboratories Inc.,17.61,810.95M,CLB,Oil & Gas Equipment & Services,Energy
2606,"Frontier Group Holdings, Inc.",3.53,810.52M,ULCC,Airlines,Industrials
2607,American Bitcoin Corp.,0.869,806.09M,ABTC,Capital Markets,Financials
2608,"Abacus Global Management, Inc.",8.34,805.16M,ABX,Insurance - Life,Financials
2609,"Aeva Technologies, Inc.",12.77,803.53M,AEVA,Software - Infrastructure,Technology
2610,Ferroglobe PLC,4.3,803.50M,GSM,Other Industrial Metals & Mining,Materials
2611,"Cricut, Inc.",3.79,802.65M,CRCT,Computer Hardware,Technology
2612,"Janux Therapeutics, Inc.",13.18,801.76M,JANX,Biotechnology,Healthcare
2613,"Riley Exploration Permian, Inc.",37.17,801.66M,REPX,Oil & Gas Exploration & Production,Energy
